t,skew,phase,vpp,filt,avg,amp,rms
1759792686.4540734,nan,nan,nan,nan,nan,nan,nan
1759792687.5512547,9.3049,334.978,0.036458,0.02201,0.006146,0.006146,0.0052206
1759792687.722616,9.33,335.88,0.04375,0.01979,0.005964,0.005964,0.00520571
1759792687.8942099,-0.655,336.421,0.039583,0.02096,0.006693,0.006693,0.00523787
1759792688.0779507,-0.655,336.421,0.039583,0.0181,0.006198,0.006198,0.00520869
1759792688.2741544,9.37,337.32,0.035417,0.0181,0.006484,0.006484,0.00513126
1759792688.4461367,-0.615,337.86,0.05,0.02148,0.007734,0.007734,0.00516369
1759792688.529283,9.4051,338.584,0.042708,0.02148,0.007734,0.007734,0.00516369
1759792688.6644094,-0.6201,337.678,0.033333,0.01914,0.007813,0.007813,0.00513809
1759792688.8428705,-0.6201,337.678,0.033333,0.02057,0.00763,0.00763,0.00511149
1759792689.0282583,-0.63,337.321,0.038542,0.02057,0.007057,0.007057,0.00514557
1759792689.2000914,9.37,337.321,0.044792,0.02422,0.00638,0.00638,0.0051587
1759792689.3983786,9.375,337.501,0.038542,0.02148,0.005573,0.005573,0.005177
1759792689.5715914,9.39,338.041,0.0375,0.01953,0.006901,0.006901,0.00516227
1759792689.657517,-0.605,338.219,0.05,0.02734,0.006901,0.006901,0.00516227
1759792689.7803116,9.4051,338.584,0.045833,0.0349,0.007083,0.007083,0.0052071
1759792689.9617963,9.4051,338.584,0.045833,0.0349,0.007083,0.009167,0.00522933
1759792690.1296415,-0.585,338.94,0.048958,0.04427,0.009167,0.009167,0.00529124
1759792690.2169943,9.4254,339.315,0.060417,0.05326,0.010911,0.010911,0.00529124
1759792690.3575852,-0.5599999999999999,339.84,0.063542,0.06211,0.01276,0.01276,0.00544219
1759792690.5421538,-0.5599999999999999,339.84,0.077083,0.0681,0.015781,0.015781,0.00565386
1759792690.7187195,9.445500000000001,340.038,0.077083,0.5401,0.059036,0.059036,0.00845357
1759792691.8645492,9.1563,329.627,0.608333,0.64779,0.201797,0.137734,0.02749062
1759792692.995669,9.060500000000001,326.178,0.634375,0.64648,0.301224,0.212344,0.03854379
1759792693.1974988,-0.9349999999999999,326.339,0.56875,0.61693,0.266563,0.185443,0.03698163
1759792693.3672068,9.0756,326.72,0.570833,0.61966,0.299818,0.205208,0.03917323
1759792693.5420651,9.0756,326.72,0.588542,0.63672,0.305651,0.167396,0.04154424
1759792693.722442,-0.92,326.878,0.588542,0.63672,0.305651,0.167396,0.04518545
1759792693.8051467,9.0905,327.258,0.585417,0.63307,0.336146,0.192109,0.04518545
1759792693.9476988,-0.895,327.779,0.671875,0.66315,0.342005,0.192292,0.04755877
1759792694.1240802,9.1156,328.161,0.582292,0.63112,0.366927,0.232526,0.05047726
1759792694.3065615,9.1156,328.161,0.582292,0.72161,0.370495,0.218646,0.05230995
1759792694.4831285,-0.8749,328.502,0.822917,0.72161,0.39125,0.245417,0.05458196
1759792694.5688992,9.1305,328.7,0.561458,0.61992,0.39125,0.245417,0.05458196
1759792694.6956956,-0.8601000000000001,329.038,0.576042,0.6293,0.391432,0.238333,0.05594116
1759792694.8885958,-0.8601000000000001,329.038,0.576042,0.62852,0.411693,0.225625,0.05793814
1759792695.0620363,9.1506,329.421,0.582292,0.63542,0.409922,0.245495,0.05903523
1759792695.2315962,-0.8350000000000001,329.938,0.582292,0.63542,0.409922,0.245495,0.06001934
1759792695.3284247,-0.8251000000000001,330.296,0.577083,0.62904,0.408099,0.244167,0.06001934
1759792695.4635868,-0.82,330.478,0.571875,0.63242,0.416823,0.218307,0.06086862
1759792695.640077,9.195500000000001,330.478,0.592708,0.63294,0.421823,0.251927,0.06208812
1759792695.829115,9.195500000000001,331.038,0.592708,0.63294,0.427318,0.251719,0.06256834
1759792696.0118456,-0.795,331.378,0.557292,0.6125,0.432839,0.258203,0.06343985
1759792696.1886644,9.2155,331.759,0.557292,0.61224,0.444036,0.267083,0.06432853
1759792696.2691948,9.220600000000001,331.941,0.5625,0.61224,0.444036,0.267083,0.06432853
1759792696.4275737,-0.7751,332.098,0.554167,0.61042,0.437526,0.264818,0.06450167
1759792696.6076076,9.2405,332.659,0.55,0.60911,0.449974,0.245156,0.06524941
1759792696.7737617,-0.7501,332.997,0.561458,0.60885,0.443984,0.268021,0.06535993
1759792696.969936,-0.7501,332.997,0.561458,0.65404,0.455495,0.2325,0.06603623
1759792697.1532915,-0.7301,333.559,0.577083,0.61823,0.448516,0.258516,0.06613942
1759792697.3284147,-0.7251,333.718,0.571875,0.6181,0.460052,0.278464,0.06623562
1759792697.5246205,-0.7251,333.898,0.571875,0.6181,0.454323,0.254531,0.06681384
1759792697.7117841,9.2905,334.458,0.563542,0.61133,0.462005,0.278073,0.0668179
1759792697.8874676,-0.6901,334.8,0.570833,0.61432,0.469661,0.286094,0.06687056
1759792698.084536,-0.6901,335.157,0.570833,0.61432,0.469661,0.24513,0.06736808
1759792698.1642857,9.3206,335.541,0.586458,0.62161,0.460234,0.24513,0.06736808
1759792698.3343356,-0.6700999999999999,335.876,0.569792,0.61016,0.470677,0.290599,0.06726195
1759792698.5136986,-0.6700999999999999,335.876,0.569792,0.62721,0.462109,0.297005,0.06773368
