t (s),skew,phase,vpp,filt,avg,amp,rms
2.384185791015625e-07,nan,nan,nan,nan,nan,nan,nan
1.026026725769043,nan,nan,nan,nan,nan,nan,nan
1.0558438301086426,22.430100000000003,447.48800000000006,0.0405208,0.02005,0.009583,0.009583,0.00069851
2.20620059967041,1.02,36.719,0.0392708,0.02044,0.004948,0.004948,0.00059815
3.3345515727996826,-0.48500000000000004,342.541,0.0326042,0.01706,0.004089,0.004089,0.0005424
4.461815595626831,9.3801,337.685,0.03,0.01628,0.005182,0.005182,0.00053781
5.586519718170166,-0.7297,333.36,0.050625,0.04297,0.007943,0.007943,0.00071151
5.728337049484253,-0.7297,333.729,0.050625,0.04297,0.007943,0.007943,0.00071151
5.765000343322754,-0.7297,333.729,0.050625,0.04297,0.009583,0.009583,0.00080046
5.884040594100952,9.2817,334.124,0.0496875,0.04375,0.009583,0.009583,0.00080046
5.935051202774048,9.2817,334.124,0.0496875,0.04375,0.009583,0.013411,0.00098276
6.099900722503662,-0.7097,334.449,0.0616667,0.05,0.013411,0.013411,0.00098276
6.140351295471191,-0.7097,334.449,0.0616667,0.05,0.013411,0.015,0.00112573
6.261322736740112,9.299999999999999,334.798,0.0551042,0.05299,0.015,0.015,0.00112573
6.295763969421387,9.299999999999999,334.798,0.0551042,0.05299,0.015,0.015,0.00112573
6.340947151184082,9.299999999999999,334.798,0.0551042,0.05299,0.013021,0.013021,0.00103506
6.479521036148071,-0.6849999999999999,335.341,0.0463542,0.02474,0.013021,0.013021,0.00103506
6.533753156661987,9.3151,335.341,0.0471875,0.0237,0.011484,0.011484,0.00094949
6.66642427444458,9.3151,335.345,0.0471875,0.0237,0.011484,0.011484,0.00094949
6.703763008117676,9.3151,335.345,0.0471875,0.0237,0.011484,0.011484,0.00088193
6.823940753936768,-0.675,335.701,0.0380208,0.01901,0.010026,0.010026,0.00088193
6.85977029800415,-0.675,335.701,0.0380208,0.01901,0.010026,0.010026,0.00088193
6.896716594696045,-0.675,335.701,0.0380208,0.01797,0.008828,0.008828,0.00082768
7.0435521602630615,-0.665,336.062,0.0351042,0.01797,0.008828,0.008828,0.00082768
7.0913145542144775,-0.665,336.062,0.0432292,0.02253,0.007891,0.007891,0.00077304
7.220437049865723,9.3499,336.597,0.0432292,0.02253,0.007891,0.007891,0.00077304
7.2580037117004395,9.3499,336.597,0.0432292,0.02253,0.007891,0.00724,0.00074559
7.386167287826538,9.36,336.96,0.0419792,0.02188,0.00724,0.00724,0.00074559
7.426919221878052,9.36,336.96,0.0419792,0.02188,0.00724,0.00724,0.00074559
7.463840007781982,9.36,336.96,0.0471875,0.025,0.006589,0.006589,0.00071358
7.618827819824219,-0.6298,337.327,0.0471875,0.025,0.006589,0.006589,0.00068235
7.754542827606201,9.379999999999999,337.681,0.0502083,0.02578,0.006302,0.006302,0.00068235
7.789448976516724,9.379999999999999,337.681,0.0502083,0.02578,0.006302,0.006302,0.00068235
7.825674533843994,9.379999999999999,337.681,0.0502083,0.02578,0.006979,0.006979,0.00065817
7.944758176803589,9.39,338.04,0.0346875,0.01823,0.006979,0.006979,0.00065817
7.978675603866577,9.39,338.04,0.0346875,0.01823,0.006979,0.006979,0.00065817
8.025826692581177,9.39,338.04,0.0504167,0.02617,0.006589,0.006589,0.00065044
8.170693159103394,-0.6,338.402,0.0504167,0.02617,0.006589,0.006589,0.00065044
8.22011923789978,9.405,338.402,0.041875,0.02214,0.005833,0.005833,0.00063395
8.341888666152954,9.405,338.579,0.041875,0.02214,0.005833,0.005833,0.00063395
8.373353719711304,9.405,338.579,0.041875,0.02214,0.005833,0.005833,0.00063395
8.409035682678223,-0.5802,339.116,0.0307292,0.01549,0.004922,0.004922,0.00062186
8.537902355194092,-0.5802,339.116,0.0307292,0.01549,0.004922,0.004922,0.00062186
8.570064544677734,-0.5802,339.116,0.0307292,0.01549,0.004922,0.004922,0.00061153
8.709322929382324,9.4252,339.307,0.0290625,0.01484,0.004401,0.004401,0.00061153
