t (s),skew,phase,vpp,filt,avg,amp,rms
2.384185791015625e-07,nan,nan,0.0386458,0.02031,0.038646,0.038646,0.00123047
1.0621235370635986,nan,nan,nan,0.01771,0.034375,0.034375,0.00120173
1.5728812217712402,30.145000000000003,725.21902,0.034375,0.01745,0.017604,0.017604,0.00084395
1.7774007320404053,-5.52,161.28,0.034375,0.01745,0.017604,0.017604,0.00075822
1.9865846633911133,3.965,142.739,0.0355208,0.01836,0.012969,0.009557,0.00068745
2.2070486545562744,14.715,169.74199999999996,0.0336458,0.0168,0.009557,0.009557,0.00068745
2.3017051219940186,nan,nan,0.0352083,0.01719,0.007969,0.007969,0.00064075
2.635324001312256,7.34,264.239,0.0367708,0.01914,0.0075,0.0075,0.00064075
2.728506088256836,-2.73,264.239,0.0298958,0.01536,0.006641,0.006641,0.00063551
2.9353206157684326,7.420000000000001,267.119,0.0353125,0.0181,0.00599,0.00599,0.00063035
3.1193394660949707,-2.46,271.44100000000003,0.0371875,0.01849,0.005391,0.005391,0.00061205
3.315330743789673,7.675000000000001,276.3,0.0338542,0.01745,0.005573,0.005573,0.00060717
3.5023140907287598,-2.2,280.8,0.0330208,0.01602,0.004974,0.004974,0.00059999
3.6973040103912354,7.9399999999999995,285.84,0.0385417,0.01927,0.004661,0.004661,0.00059637
3.8972115516662598,-1.885,292.139,0.0311458,0.01628,0.004219,0.004219,0.00058221
4.08513879776001,8.2898,298.395,0.0373958,0.02005,0.004089,0.004089,0.00058458
4.264250040054321,-1.5698999999999999,303.48199999999997,0.0339583,0.01771,0.003828,0.003828,0.00058609
4.453608274459839,8.57,308.521,0.0335417,0.01628,0.003854,0.003854,0.00060148
4.766385078430176,-1.3,313.201,0.0371875,0.02096,0.004375,0.003932,0.00060252
4.973015069961548,8.84,318.24,0.0308333,0.01589,0.005,0.005,0.00060529
5.1535868644714355,-1.0250000000000001,323.101,0.0416667,0.02188,0.004609,0.004609,0.00060758
5.363487958908081,9.12,328.321,0.0322917,0.01927,0.004479,0.004479,0.00059288
5.556673049926758,-0.8751,328.497,0.036875,0.01719,0.004609,0.004609,0.00058496
5.7607197761535645,9.142000000000001,329.093,0.0316667,0.01615,0.004219,0.004219,0.00058138
5.948995351791382,-0.855,329.219,0.0317708,0.0168,0.00401,0.00401,0.00057181
6.156099796295166,9.145,329.221,0.0317708,0.0168,0.00401,0.004297,0.00058313
6.347241401672363,-0.8400000000000001,329.758,0.0354167,0.01862,0.004297,0.004167,0.00057446
6.5333006381988525,9.175,330.299,0.0354167,0.01745,0.004167,0.004609,0.00057635
6.725042819976807,-0.82,330.48,0.0357292,0.01797,0.004609,0.004401,0.00057945
6.91532301902771,9.19,330.839,0.03625,0.01875,0.004401,0.004089,0.00057522
7.105783700942993,-0.795,331.379,0.0285417,0.01484,0.004089,0.005703,0.00057855
7.302279710769653,9.209999999999999,331.56,0.039375,0.0194,0.005703,0.005313,0.0005762
7.486098051071167,-0.78,331.204,0.0371875,0.01927,0.005313,0.005182,0.00056947
